company,site,permit,activity_reference,is_shellfishery,is_bathing_beach,spill_duration,spill_count,reporting_coverage_pct,comments
Southern Water,APPLE TREE LANE TUNBRIDGE WELLS CSO,PP(A)38/457/K100/80,Storm,,,111.03,54.0,99.34,W00570
Southern Water,APPLEDORE ROAD WOODCHURCH WPS,A00266 ,Storm,,,226.28,25.0,99.96,A00266
Southern Water,APPLEDORE ROAD WOODCHURCH WPS,A00266 ,Emergency,,,99.22,13.0,99.96,A00266
Southern Water,APPLEY PARK RYDE TRANSFER WPS,A849/IOW/98,Storm,,,1706.66,133.0,99.73,A00849
Southern Water,APPLEY PARK RYDE TRANSFER WPS,A849/IOW/98,Emergency,,,7.66,3.0,99.73,A00849
Southern Water,ARDINGLY WTW,A1239/S/05,Storm,,,0.0,0.0,100.0,A01239
Southern Water,ARDINGLY WTW,WACT/254,Settled Storm,,,1047.72,66.0,99.13,A00190
Southern Water,ARUNDEL DRIVE FAREHAM WPS,51/220,Storm,,,26.36,21.0,100.0,H01139
Southern Water,ASCOT ROAD HORTON HEATH WPS,P3951/H/91,Emergency,,,0.0,0.0,99.91,P03951
Southern Water,ASHDENE ROAD ASHURST CSO,A1303/H/05,Storm,,,276.05,46.0,78.5,Comms issue now resolved A01303
Southern Water,ASHEY ROAD RYDE CSO,A769/IOW/97,Storm,,,0.0,0.0,96.63,A00769
Southern Water,ASHFORD WTW,A805/K/98,Settled Storm,,,495.85,40.0,99.8,A00805
Southern Water,ASHINGTON WTW,A1183/S/02,Settled Storm,,,1975.79,109.0,99.5,A01183
Southern Water,ASHINGTON WTW,A1183/S/02,Emergency,,,0.0,0.0,99.5,A01183
Southern Water,ASHLETT CREEK FAWLEY WTW,A797/H/97,Settled Storm,,,248.79,29.0,99.9,A00797
Southern Water,ASHTON CORNER WPS,A01399/H/05,Storm,,,1.0,1.0,99.51,A01399
Southern Water,ASHTON CORNER WPS,A01399/H/05,Emergency,,,0.0,0.0,99.51,A01399
Southern Water,ASHURST BRIDGE WPS,A668/H/94,Emergency,,,25.4,4.0,99.68,A00668
Southern Water,ASHURST BRIDGE WPS,A1304/H/05,Storm,,,37.16,7.0,99.68,A01304
Southern Water,ASQUITH ROAD WIGMORE CSO,A806/K/98,Storm,,,15.3,17.0,64.0,"Comms issue, solution being deployed A00806"
Southern Water,ASTEN FIELDS BATTLE WPS,A271/S/89,Storm,,,13.1,4.0,97.67,A00271
Southern Water,ASTEN FIELDS BATTLE WPS,A271/S/89,Emergency,,,0.0,0.0,97.67,A00271
Southern Water,ATTLEE WAY GROVEHURST WPS,A247/K/89,Emergency,,,3.75,1.0,100.0,A00247
Southern Water,ATTLEE WAY GROVEHURST WPS,A1344/K/05,Storm,,,1.97,1.0,100.0,A01344
Southern Water,AUGUSTA ROAD RYDE CSO,A760/IOW/97,Storm,,,0.0,0.0,100.0,A00760
Southern Water,BALCOMBE WTW,A1510/S/07,Settled Storm,,,0.57,1.0,70.0,"Monitor issue, solution being deployed A01510"
Southern Water,BALCOMBE WTW,A1510/S/07,Storm,,,0.0,0.0,100.0,A01510
Southern Water,BALL LANE KENNINGTON CSO,A900/K/99,Storm,,,375.47,32.0,77.1,Comms issue now resolved A00900
Southern Water,BARCOMBE CROSS CSO,A1252/S/05,Storm,,,0.0,0.0,0.0,"Signal or connection issue identified, resolution to follow A01252"
Southern Water,BARCOMBE NEW WTW,62/1/804,Settled Storm,,,962.23,78.0,100.0,W00362
Southern Water,BARGE LANE WOOTTON BRIDGE OUTSIDE 5 CSO,A1088/IOW/99,Storm,,,436.61,50.0,99.6,A01088
Southern Water,BARKER ROAD MAIDSTONE CSO,A1055/K/99,Storm,,,0.0,0.0,99.99,A01055
Southern Water,BARNETTS BRIDGE GRAFFHAM WPS,COPA/9162,Storm,,,1040.83,62.0,99.94,A00017
Southern Water,BARNETTS BRIDGE GRAFFHAM WPS,COPA/9162,Emergency,,,0.0,0.0,99.94,A00017
Southern Water,BARNETTS BRIDGE GRAFFHAM WPS,A1244/S/05,Emergency,,,0.0,0.0,99.94,A01244
Southern Water,BARNS GREEN WTW,P/53/10/3/54,Settled Storm,,,282.83,42.0,98.27,W00385
Southern Water,BARROWS BROOK EASTCHURCH WPS,A807/K/98,Emergency,,,0.0,0.0,99.92,A00807
Southern Water,BARROWS BROOK EASTCHURCH WPS,A1335/K/05,Storm,,,75.59,15.0,99.92,A01335
Southern Water,BARTON ROAD DOVER STORM TANK CSO,A717/K/96,Storm,,,53.63,4.0,99.89,A00717
Southern Water,BATTLE WTW,RP14/64,Settled Storm,,,916.1,83.0,100.0,W00538
Southern Water,BEACH LANE NETLEY WPS,A1419/H/05,Storm,,,0.0,0.0,99.48,A01419
Southern Water,BEACH LANE NETLEY WPS,A1419/H/05,Emergency,,,0.0,0.0,99.48,A01419
Southern Water,BEAULIEU VILLAGE WTW,A853/H/98,Storm,,,439.96,33.0,99.83,A00853
Southern Water,BECKLEY WTW,RP31/64,Settled Storm,,,206.21,26.0,99.94,W00537
Southern Water,BECKLEY WTW,RP31/64,Emergency,,,0.0,0.0,99.94,W00537
Southern Water,BECTON LANE BARTON ON SEA WPS,A706/H/96,Emergency,,,0.0,0.0,97.95,A00706
Southern Water,BECTON LANE BARTON ON SEA WPS,A1194/H/03,Storm,,,7.14,4.0,97.95,A01194
Southern Water,BEECHINGS WAY GILLINGHAM NO 3 CSO,A943/K/99,Storm,,,8.33,11.0,99.99,A00943
Southern Water,BELL LANE UCKFIELD WPS,A568/S/90,Emergency,,,0.0,0.0,99.74,A00568
Southern Water,BELL LANE UCKFIELD WPS,A568/S/90,Storm,,,10.3,4.0,99.74,A00568
Southern Water,BELLINGHAM WAY LARKFIELD WPS,A1124/K/01,Emergency,,,0.0,0.0,94.81,A01124
Southern Water,BENENDEN WTW,A667/K/94,Settled Storm,,,149.55,18.0,93.55,A00667
Southern Water,BERENGRAVE CHALKY BANK ROAD GILLINGHAM CSO,A.1318/K/05,Storm,,,38.41,29.0,99.81,A01318
Southern Water,BERENGRAVE LANE GILLINGHAM EMO,EPR/FB3092EQ,Emergency,,,0.0,0.0,98.48,EPR/FB3092EQ
Southern Water,BERWICK WTW,62/1/885,Settled Storm,,,0.0,0.0,96.6,W00360
Southern Water,BEST BEECH HILL WPS,A1115/K/00,Storm,,,126.24,21.0,88.6,Comms issue now resolved A01115
Southern Water,BEST BEECH HILL WPS,A1115/K/00,Emergency,,,5.34,1.0,88.6,Comms issue now resolved A01115
Southern Water,BETHERSDEN WTW,RP13/73,Settled Storm,,,342.28,34.0,71.9,Comms issue now resolved W00489
Southern Water,BETHERSDEN WTW,RP13/73,Emergency,,,0.0,0.0,71.9,Comms issue now resolved W00489
Southern Water,BEXHILL & HASTINGS WTW,A857/S/P/98,Storm,,,1280.39,117.0,93.66,A00857
Southern Water,BEXHILL DOWN CSO,A743/S/P/97,Storm,,,39.55,7.0,99.67,A00743
Southern Water,BIDBOROUGH WTW,RP9/66,Settled Storm,,,547.75,47.0,97.94,A00602
Southern Water,BIDDENDEN WTW,RP25/71,Settled Storm,,,117.23,20.0,100.0,W00514
Southern Water,BILLINGSHURST WTW,A578/S/90,Settled Storm,,,736.01,69.0,100.0,A00526
Southern Water,BISHOPS WALTHAM WTW,COPA/10818,Settled Storm,,,5.7,1.0,100.0,W00006
Southern Water,BLACK ROCK BRIGHTON WPS,A842/S/P/98,Storm,,,0.0,0.0,100.0,A00842
Southern Water,BLACK ROCK BRIGHTON WPS,A843/S/P/98,Emergency,,,0.0,0.0,100.0,A00843
Southern Water,BLACK ROCK BRIGHTON WPS,A1243/S/05,Storm,,,0.0,0.0,90.08,A01243
Southern Water,BLACK ROCK BRIGHTON WPS,A1243/S/05,Emergency,,,0.0,0.0,90.08,A01243
Southern Water,BLACKBOYS WTW,A631/S/92,Settled Storm,,,555.2,59.0,100.0,W00361
Southern Water,BLACKGANG WPS,A221/IOW/89,Storm,,,0.0,0.0,99.99,A00221
Southern Water,BLACKGANG WPS,A221/IOW/89,Emergency,,,0.0,0.0,99.99,A00221
Southern Water,BLACKMORES FARM WIVELSFIELD CSO,PP(A)38/206/S95/79,Storm,,,0.0,0.0,98.84,W00446
Southern Water,BLACKWALL ROAD WILLESBOROUGH LEES WPS,A812/K/98,Emergency,,,0.0,0.0,99.89,A00812
Southern Water,BLACKWALL ROAD WILLESBOROUGH LEES WPS,RP30/63,Storm,,,4.05,2.0,99.89,K01508
Southern Water,BLACKWALL ROAD WILLESBOROUGH LEES WPS,RP30/63 ,Emergency,,,0.0,0.0,99.89,K01508
Southern Water,BLECHYNDEN TERRACE SOUTHAMPTON CSO,A1288/H/05,Storm,,,34.93,25.0,97.81,A01288
Southern Water,BOARLEY LANE PENENDEN HEATH WPS,A632/K/92,Emergency,,,5.45,2.0,99.71,A00632
Southern Water,BOARLEY LANE PENENDEN HEATH WPS,A632/K/92,Storm,,,80.04,13.0,99.71,A00632
Southern Water,BOCKHANGER WPS,A1021/K/99,Storm,,,23.8,4.0,100.0,A01021
Southern Water,BOCKHANGER WPS,A1021/K/99 ,Emergency,,,0.0,0.0,100.0,A01021
Southern Water,BOCKHANGER WPS,A1408/K/05,Emergency,,,0.0,0.0,100.0,A01408
Southern Water,BOG FARM BRABOURNE LEES WPS,PC(A)195/K24/77,Storm,,,7.48,3.0,93.69,W00580
Southern Water,BOG FARM BRABOURNE LEES WPS,PC(A)195/K24/77,Emergency,,,0.0,0.0,93.69,W00580
Southern Water,BOGNOR MAIN WPS,A731/S/CH/97,Storm,,,53.25,11.0,96.74,A00731
Southern Water,BOGNOR MAIN WPS,P/31/10/1/19,Emergency,,,0.0,0.0,96.74,S01024
Southern Water,BOGNOR MAIN WPS,62/1/537,Emergency,,,0.0,0.0,96.74,S01722
Southern Water,BOLDRE WTW,51/80,Settled Storm,,,274.7,29.0,96.89,W00242
Southern Water,BOLNEY WOOD HAILSHAM WPS,A1266/S/05,Emergency,,,0.0,0.0,99.71,A01266
Southern Water,BOLNEY WOOD HAILSHAM WPS,62/1/1370,Storm,,,66.36,23.0,99.71,W00475
Southern Water,BOLNEY WOOD HAILSHAM WPS,62/1/1370 ,Emergency,,,0.0,0.0,99.71,W00475
Southern Water,BONCHURCH WPS,A700/IOW/96,Emergency,,,4.25,1.0,98.17,A00700
Southern Water,BOSHAM WTW,COPA/5664,Settled Storm,,,1140.33,82.0,99.82,W00133
Southern Water,BOTLEY ROAD HORTON HEATH WPS,A618/H/91,Emergency,,,0.0,0.0,99.52,A00618
Southern Water,BOTLEY ROAD NORTH BADDESLEY WPS,A1144/H/01,Storm,,,0.0,0.0,100.0,A01144
Southern Water,BOTLEY ROAD NORTH BADDESLEY WPS,A1144/H/01,Emergency,,,0.0,0.0,100.0,A01144
Southern Water,BOTLEY ROAD SHEDFIELD WPS,A612/H/91,Emergency,,,2.38,1.0,99.86,A00612
Southern Water,BOURNE BRIDGE HADLOW CSO,A413/K/89,Storm,,,41.67,13.0,100.0,A00413
Southern Water,BOW BRIDGE FRESHWATER CEO,270,Storm,,,58.93,33.0,99.21,W00153
Southern Water,BOXLEY ROAD MAIDSTONE CSO,A1331/K/05,Storm,,,0.0,0.0,99.99,A01331
Southern Water,BRAMBLE DRIVE HAILSHAM CSO,PC115/61/S122,Storm,,,77.77,20.0,78.56,Monitor issue now resolved D01054
Southern Water,BRAMBLETREE CRESCENT BORSTAL WPS,A125/K/87,Emergency,,,0.0,0.0,100.0,A00125
Southern Water,BRAMBLETREE CRESCENT BORSTAL WPS,A1511/K/06,Storm,,,3.22,4.0,100.0,A01511
Southern Water,BREADLANDS ROAD ASHFORD CSO,A902/K/99,Storm,,,8.57,4.0,47.2,"Monitor issue, solution being deployed A00902"
Southern Water,BREDE WSW,A658/659/K/93,Emergency,,,7.72,5.0,99.91,A00658B
Southern Water,BREWERS LANE GOSPORT CSO,A1207/H/03,Storm,,,2.9,1.0,100.0,A01207
Southern Water,BREWHURST MILL LOXWOOD WPS,A1481/S/06,Emergency,,,0.0,0.0,99.88,A01481
Southern Water,BREWHURST MILL LOXWOOD WPS,P/48/10/2/90,Storm,,,430.93,42.0,99.88,S01018
Southern Water,BRICKWALL NORTHIAM WPS,A629/K/91,Storm,,,62.11,16.0,99.85,A00629
Southern Water,BRICKWALL NORTHIAM WPS,A629/K/91,Emergency,,,49.76,7.0,99.85,A00629
Southern Water,BRIDGE ROAD SCREEN LYMINGTON CSO,A359/H/89,Storm,,,0.43,1.0,99.99,A00359
Southern Water,BRIDGEFOOT FAREHAM WPS,A201/H/89,Storm,,,58.71,14.0,99.04,A00201
Southern Water,BRIDGEFOOT FAREHAM WPS,A201/H/89,Emergency,,,111.77,8.0,99.04,A00201
Southern Water,BRIDGEFOOT KIRDFORD WPS,A619/S/91,Emergency,,,3.47,1.0,99.84,A00619
Southern Water,BRIDGEFOOT KIRDFORD WPS,A619/S/91,Storm,,,122.51,17.0,99.84,A00619
Southern Water,BRIELLE WAY WESTMINSTER WPS,RP.8/74,Emergency,,,23.9,4.0,99.31,A01342
Southern Water,BRIELLE WAY WESTMINSTER WPS,RP8/74,Storm,,,69.91,18.0,99.31,K02065
Southern Water,BRIGHSTONE WTW,A1181/IOW/02,Emergency,,,0.0,0.0,97.79,A01181
Southern Water,BRIGHSTONE WTW,WACT/256,Settled Storm,,,823.84,69.0,97.83,A00527
Southern Water,BRITTS FARM BUXTED WPS,A1401/S/05,Storm,,,0.0,0.0,99.61,A01401
Southern Water,BRITTS FARM BUXTED WPS,A1401/S/05,Emergency,,,0.0,0.0,99.61,A01401
Southern Water,BROADFORD HORSMONDEN WPS,A922/K/99,Emergency,,,0.87,1.0,97.86,A00922
Southern Water,BROADFORD HORSMONDEN WPS,RP22/71,Storm,,,154.3,20.0,97.86,K02074
Southern Water,BROADFORD HORSMONDEN WPS,RP22/71,Emergency,,,0.0,0.0,97.86,K02074
Southern Water,BROADMARK LANE RUSTINGTON WPS,A749/S/CH/97,Storm,,,11.3,2.0,100.0,A00749
Southern Water,BROADMARK LANE RUSTINGTON WPS,A1258/S/05,Emergency,,,0.0,0.0,100.0,A01258
Southern Water,BROADOAK BOTLEY CSO,A1018/H/99,Storm,,,61.2,19.0,88.6,"Monitor issue, solution being deployed A01018"
Southern Water,BROADOAK LANE BEXHILL WPS,A1119/S/P/00,Emergency,,,0.0,0.0,99.99,A01119
Southern Water,BROADSTAIRS WPS,A1214/K/04,Storm,,,55.46,17.0,99.93,A01214
Southern Water,BROADSTAIRS WPS,A1214/K/04,Emergency,,,0.57,1.0,99.93,A01214
Southern Water,BROADSTAIRS WPS,A1214/K/04,Storm,,,0.0,0.0,99.93,A01214
Southern Water,BROADSTAIRS WPS,A1214/K/04,Emergency,,,0.0,0.0,99.93,A01214
Southern Water,BROADSTAIRS WPS,A1214/K/04 ,Storm,,,0.0,0.0,99.93,A01214
Southern Water,BROADSTAIRS WPS,A1214/K/04 ,Emergency,,,2.53,1.0,99.93,A01214
Southern Water,BROCKENHURST WTW,PP(A)38/54/H18/76,Storm,,,133.11,13.0,99.58,W00311
Southern Water,BROCKENHURST WTW,PP(A)38/54/H18/76,Emergency,,,0.0,0.0,99.58,W00311
Southern Water,BROCKENHURST WTW,PP(A)38/54/H18/76,Settled Storm,,,1869.35,122.0,99.49,W00311
Southern Water,BROCKLEY ROAD BEXHILL CSO,A742/S/97,Storm,,,403.29,33.0,99.89,A00742
Southern Water,BROOK LANE BOTLEY WPS,A646/H/92,Storm,,,28.17,3.0,97.72,A00156
Southern Water,BROOK LANE BOTLEY WPS,A646/H/92,Emergency,,,0.0,0.0,97.72,A00156
Southern Water,BROOK ROAD SWALECLIFFE NEW WPS,A777/K/97,Storm,,,8.56,2.0,94.0,A00777
Southern Water,BROOK ROAD SWALECLIFFE NEW WPS,A777/K/97,Emergency,,,0.0,0.0,94.0,A00777
Southern Water,BROOKFIELD AVENUE DOVER CSO,A716/K/96,Storm,,,2.87,3.0,99.08,A00716
Southern Water,BROOKSIDE DAIRY WROXALL CSO,A990/IOW/99,Storm,,,17.25,3.0,100.0,A00990
Southern Water,BROOMCROFT ROAD GILLINGHAM CSO,A806/K/98,Storm,,,43.0,5.0,100.0,A00806F
Southern Water,BROOMFIELD BANK WTW,A1112/K/00,Emergency,,,2.21,2.0,98.69,A01112
Southern Water,BROWN MILL LITTLE CHART FORSTAL WPS,A1329/K/05,Storm,,,44.1,5.0,95.8,A01329
Southern Water,BROWN MILL LITTLE CHART FORSTAL WPS,A1329/K/05 ,Emergency,,,49.72,8.0,95.8,A01329
Southern Water,BROWN MILL LITTLE CHART FORSTAL WPS,COPA/10404,Emergency,,,148.23,10.0,95.8,A00037
Southern Water,BROWNDOWN WPS,PP(A)38/440/H96/80,Emergency,,,3.24,2.0,99.95,W00266
Southern Water,BRUNEL ROAD REDBRIDGE WPS,A1145/H/01,Storm,,,0.0,0.0,100.0,A01145
Southern Water,BRUNEL ROAD REDBRIDGE WPS,A1145/H/01,Emergency,,,0.0,0.0,100.0,A01145
Southern Water,BRYANT ROAD STROOD CSO,A.939/K/99,Storm,,,0.0,0.0,0.0,"Access issue, solution being deployed A00939"
Southern Water,BUDDS FARM HAVANT WTW,A.752/H/97,Emergency,,,0.0,0.0,100.0,A00752
Southern Water,BUDDS FARM HAVANT WTW,A.752/H/97,Storm,,,6.37,4.0,100.0,A00752
Southern Water,BUDDS FARM HAVANT WTW,A751/H/97,Settled Storm,,,1142.08,84.0,99.75,A00751
Southern Water,BUDDS FARM HAVANT WTW,A751/H/97,Emergency,,,0.0,0.0,100.0,A00751
Southern Water,BUDDS FARM HAVANT WTW,A753/H/97,Storm,,,4.78,3.0,100.0,A00753
Southern Water,BUDDS FARM HAVANT WTW,A751/H/97 ,Emergency,,,0.0,0.0,100.0,A00751
Southern Water,BUDDS FARM HAVANT WTW,A751/H/97,Emergency,,,0.14,1.0,99.76,A00751
Southern Water,BUDDS FARM HAVANT WTW,A.754/H/97,Storm,,,756.06,104.0,99.76,A00754
Southern Water,BURGESS ROAD HASTINGS WPS,COPA/3350,Storm,,,5.94,2.0,94.33,W00036
Southern Water,BURGESS ROAD HASTINGS WPS,COPA/3350,Emergency,,,16.57,3.0,94.33,W00036
Southern Water,BURITON WTW,62A/10/2/23,Storm,,,975.31,56.0,99.78,W00325
Southern Water,BURNETTS LANE HORTON HEATH WPS,A1182/H/02,Storm,,,79.88,9.0,99.52,A01182
Southern Water,BURNETTS LANE HORTON HEATH WPS,PP(A)38/364/H50/79,Emergency,,,96.22,10.0,99.52,W00291
Southern Water,BURRFIELDS ROAD PORTSMOUTH CSO,A1386/H/05,Storm,,,0.0,0.0,99.63,A01386
Southern Water,BURWASH COMMON WTW,RP1/60,Settled Storm,,,0.0,0.0,91.54,W00555
Southern Water,BURWASH VILLAGE WTW,COPA/171A,Settled Storm,,,46.55,10.0,99.92,W00122
Southern Water,BURY ROAD GOSPORT WPS,A1382/H/05,Storm,,,0.0,0.0,99.96,A01382
Southern Water,BURY ROAD GOSPORT WPS,A1382/H/05,Emergency,,,0.0,0.0,99.96,A01382
Southern Water,BURY WTW,A588/S/90,Settled Storm,,,1214.26,63.0,90.73,W00367
Southern Water,BUXTED WTW,A653/S/93,Settled Storm,,,1325.82,83.0,94.85,W00607
Southern Water,BYBROOK ASHFORD WPS,A808/K/98,Emergency,,,0.0,0.0,99.97,A00808
Southern Water,BYBROOK ASHFORD WPS,A991/K/99,Storm,,,419.74,24.0,99.97,A00991
Southern Water,CALBOURNE WTW,WACT/263,Settled Storm,,,464.43,50.0,99.93,A00191
Southern Water,CALSHOT CAR PARK WPS,A1229/H/05,Storm,,,0.0,0.0,21.0,Permit revoked in 2020 A01229
Southern Water,CALSHOT CAR PARK WPS,A1229/H/05,Emergency,,,0.0,0.0,21.0,Permit revoked in 2020 A01229
Southern Water,CAMBRIDGE ROAD GOSPORT WPS,A342/H/89,Emergency,,,35.43,2.0,99.91,A00342
Southern Water,CAMBRIDGE ROAD GOSPORT WPS,A1357/H/05,Storm,,,0.0,0.0,99.91,A01357
Southern Water,CAMS HILL FAREHAM CSO,A332/H/89,Storm,,,36.52,43.0,99.6,A00332
Southern Water,CANADIA WPS,PP(A)38/106/K27/78,Storm,,,356.26,51.0,96.82,W00591
Southern Water,CANNON LANE TONBRIDGE CSO,RP24/64,Storm,,,342.29,69.0,99.97,K01503
Southern Water,CANTERBURY ROAD CEMETERY ASHFORD CSO,A913/K/99,Storm,,,381.41,37.0,100.0,A00913
Southern Water,CANTERBURY ROAD SOUTH WILLESBOROUGH WPS,A570/K/90,Emergency,,,0.0,0.0,96.29,A00570
Southern Water,CANTERBURY ROAD SOUTH WILLESBOROUGH WPS,A1327/K/05,Storm,,,0.0,0.0,96.29,A01327
Southern Water,CANTERBURY ROAD SOUTH WILLESBOROUGH WPS,A1327/K/05,Emergency,,,0.0,0.0,96.29,A01327
Southern Water,CANTERBURY WTW,RP11/67,Settled Storm,,,20.11,3.0,99.96,W00532
Southern Water,CARLTON AVENUE BOGNOR CSO,A732/S/CH/97,Storm,,,0.0,0.0,100.0,A00732
Southern Water,CARNEGIE ROAD WORTHING CSO,A958/S/99,Storm,,,0.0,0.0,95.63,A00958
Southern Water,CASTLE HILL ROCHESTER CSO,A119/K/87,Storm,,,0.0,0.0,88.2,Monitor issue now resolved D00080
Southern Water,CASTLE ROAD ALLINGTON WPS,A.654/K/93,Storm,,,4.8,5.0,99.81,A00654
Southern Water,CASTLE ROAD ALLINGTON WPS,A.654/K/93,Emergency,,,0.0,0.0,99.81,A00654
Southern Water,CASTLE ROAD ALLINGTON WPS,A.654/K/93,Settled Storm,,,54.96,8.0,99.81,A00654
Southern Water,CASTLE ROAD ALLINGTON WPS,A.654/K/93 ,Emergency,,,0.0,0.0,99.81,A00654
Southern Water,CASTLE TERRACE HAWKHURST CSO,COPA/11220,Storm,,,1217.89,100.0,100.0,A00168
Southern Water,CASTLEWOOD ROAD SOUTHWATER WPS,A676/S/CH/95,Emergency,,,0.0,0.0,100.0,A00676A
Southern Water,CATSFIELD WTW,16912,Storm,,,216.44,37.0,93.14,W00336
Southern Water,CEDAR ROAD SOUTHAMPTON CSO,A1289/H/05,Storm,,,138.0,8.0,63.8,"Monitor issue, solution being deployed A01289"
Southern Water,CHAFFORD LANE FORDCOMBE WPS,A00240 ,Storm,,,17.96,2.0,97.87,A00240
Southern Water,CHAFFORD LANE FORDCOMBE WPS,A00240 ,Emergency,,,0.0,0.0,97.87,A00240
Southern Water,CHALE STREET CHALE WPS,A223/IOW/89,Emergency,,,0.0,0.0,99.85,A00223
Southern Water,CHALE STREET CHALE WPS,A223/IOW/89,Storm,,,7.17,2.0,99.85,A00223
Southern Water,CHALE WTW,203,Settled Storm,,,93.85,17.0,99.54,W00155
Southern Water,CHALICE COURT HEDGE END WPS,A1400/H/05  ,Storm,,,0.0,0.0,99.5,A01400
Southern Water,CHALICE COURT HEDGE END WPS,A1400/H/05,Emergency,,,0.0,0.0,99.5,A01400
Southern Water,CHALKWELL ROAD SITTINGBOURNE CSO,A.1345/K/05,Storm,,,0.0,0.0,14.4,Monitor issue now resolved A01345
Southern Water,CHALKY BANK ROAD GILLINGHAM CSO,EPR/DB3797NX,Storm,,,0.0,0.0,99.99,A00806E
Southern Water,CHAPEL ROAD BOLNEY WPS,A650/S/93,Storm,,,38.54,6.0,99.95,A00650
Southern Water,CHAPEL ROAD BOLNEY WPS,A650/S/93,Emergency,,,9.83,3.0,99.95,A00650
Southern Water,CHAPEL STREET PETERSFIELD CSO,A362/S/89,Storm,,,151.47,12.0,54.6,Monitor issue now resolved A00362
Southern Water,CHARCOTT PLACE WPS,A1410/K/05,Storm,,,96.82,13.0,99.83,A01410
Southern Water,CHARCOTT PLACE WPS,PC(A)72/K20/76,Emergency,,,0.0,0.0,99.83,A01410
Southern Water,CHARCOTT PLACE WPS,PC(A)72/K20/76,Emergency,,,0.0,0.0,99.83,W00585
Southern Water,CHARING WTW,RP14/62,Settled Storm,,,94.18,14.0,100.0,W00542
Southern Water,CHARLES STREET STROOD CSO,A938/K/99,Storm,,,0.58,2.0,21.7,Monitor issue now resolved A00938
Southern Water,CHARLWOODS ROAD EAST GRINSTEAD CSO,RP3/64,Storm,,,0.0,0.0,98.7,K01506
Southern Water,CHATHAM HILL CHATHAM OUTSIDE 10 CSO,A1157/K/02,Storm,,,0.0,0.0,0.0,"Access issue, solution being deployed A01157"
Southern Water,CHATHAM HILL CHATHAM OUTSIDE 425 CSO,A927/K/99,Storm,,,0.0,0.0,0.0,"Access issue, solution being deployed A00927"
Southern Water,CHEQUERS LAMBERHURST WPS,A598/K/91,Emergency,,,8.63,1.0,100.0,A00598
Southern Water,CHEQUERS LAMBERHURST WPS,A598/K/91,Storm,,,142.71,17.0,100.0,A00598
